K,semcoh,exclus,heldout,residual,composite_score
18,-85.02318572762456,9.571864696519711,-7.902674624211401,5.967128399905505,0.6043265526052122
20,-92.17543914643333,9.606164656729845,-7.902867557221193,5.758189846556222,0.48962477532310905
19,-91.9643053114078,9.598075039260946,-7.909495128950306,5.895858853953533,0.4047292671413969
17,-87.82290921515805,9.54472781783844,-7.919391582837374,6.083368084171145,0.3465305580684609
16,-84.77409494787481,9.539915825807206,-7.92921386949616,6.252811957468068,0.34178172623430525
15,-83.91548693756377,9.543095733671867,-7.934155206069494,6.379890929953533,0.3101644568258369
14,-82.53733629595772,9.513779999562578,-7.950912211494403,6.481981908458577,0.19993334005612123
13,-79.83912634385152,9.476343573030489,-7.96586542731334,6.658610750080344,0.10190261502389061
12,-77.1593408314534,9.445239092703565,-7.978970509790845,6.806194188885503,0.032651267535478694
11,-73.42371529594946,9.426769248407624,-7.989050275558631,6.987893732542514,0.022530563286468283
10,-76.8941531987224,9.359305090107778,-8.014112650517735,7.0490445819627015,-0.34374145899145236
9,-74.65967816256321,9.286336562841273,-8.033051039406097,7.3264971564724926,-0.5737045340905148
8,-72.66504067217879,9.203850330774127,-8.050134041357678,7.565360795458011,-0.8067947641676079
7,-69.62494883811475,9.169827143346774,-8.094243629657743,8.0730993756847,-1.1299343648506808
